state,year,dem_exp,rep_exp,votes_dem_perc,votes_gop_perc,white_pop,black_pop,other_pop
OH,2020,9.450605050000084,7.2125547700000014,45.23933834070503,53.27130010087464,95.52736,15.2557,6.10794
OK,2012,0.0,2.15780828,33.22768025698344,66.77231974301655,28.8368,2.91158,6.43976
OK,2016,0.07995272000000002,2.753238360000001,28.93168028454389,65.32286481962736,29.27248,3.04272,6.94811
OK,2020,0.42966375,0.8000203100000001,32.28617433598663,65.37327184806297,29.27354,3.07819,7.21798
OR,2012,1.8240179700000003,3.75043464,54.239326652769016,42.14987117651333,34.43374,0.7755,3.78077
OR,2016,2.25303692,2.4296615200000007,50.071852002862094,39.094035184496754,35.71132,0.87084,4.3176
OR,2020,0.04676348,0.0,56.45331865404889,40.36724604634336,36.55136,0.9374,4.68861
PA,2012,27.289406559999232,27.01540428000011,52.0768577021407,46.68086603367444,106.43666,14.65171,6.58281
PA,2016,69.53449497001711,72.73653352000612,47.85361616456286,48.57788580374602,105.23295,15.091,7.4988
PA,2020,20.167594690000218,14.822345570000028,49.96094728641762,48.78178493066321,104.47062,15.40092,8.14835
RI,2012,0.49702284,0.6143471200000001,62.68725362840714,35.25786425976905,9.03906,0.78436,0.72279
RI,2016,0.0,0.0,54.354618744281595,38.94772731196161,8.92309,0.8514,0.79321
RI,2020,0.0,0.155,59.29900868154064,38.699376238179795,8.85518,0.90108,0.83735
SC,2012,2.21076622,23.63681613,44.08803340736147,54.561131255861405,32.24408,13.20933,1.72013
SC,2016,1.6955956799999998,19.183089789999997,40.6734197896651,54.939332685695426,33.93188,13.61728,2.03052
SC,2020,0.7235039500000002,3.791134190000001,43.43008814206178,55.11029395674024,35.32048,13.88017,2.28649
SD,2012,1.2987237699999998,0.50272488,39.86614075835246,57.889311875541146,7.16757,0.1373,0.89042
SD,2016,2.0016006,2.2996677500000007,31.737428159948987,61.5307503789588,7.32787,0.17505,0.98279
SD,2020,0.0,0.4199572,35.605252136135285,61.76938967225024,7.4807,0.20332,1.16257
TN,2012,2.1624595200000005,5.104250780000001,39.07581499379519,59.47871471993759,51.14883,10.9653,2.42485
TN,2016,0.0,2.4760649,34.716332798650086,60.72203369421462,52.31842,11.35529,2.78639
TN,2020,28.010638879999995,26.43989298000003,37.4514342710237,60.66029416628382,53.54405,11.64461,3.10308
TX,2012,4.384836670000001,20.583037970000024,41.383358283760856,57.166977468056395,210.28816,32.084,18.47265
TX,2016,6.794592639999999,12.756627670000002,43.23525798101196,52.234685579335384,221.72579,35.19315,22.22516
TX,2020,22.561776379999966,31.777078450000033,46.467285349743435,52.044471811096585,228.0613,37.39221,24.5053
UT,2012,0.4980937600000001,5.536518019999997,24.74966582796037,72.7905331026891,26.19813,0.36192,1.9737
UT,2016,0.0,2.642705149999999,27.4587027036582,45.53803593682331,27.7342,0.414,2.27048
UT,2020,0.08279547,3.2126368199999966,37.64604858330606,58.12983902991961,29.04132,0.47537,2.54289
VA,2012,30.655582489999567,24.3600744699996,51.15645679621864,47.28310289638911,58.23083,16.09515,7.52482
VA,2016,8.892173500000004,12.378509369999998,49.72789199301015,44.40669663012711,58.93536,16.62906,8.53664
VA,2020,12.494691310000002,14.57112654,54.10951717780243,43.995503667282144,59.22648,16.96911,9.1596
VT,2012,0.0,0.0,66.5705503023823,30.972635236726923,5.96853,0.07021,0.22216
VT,2016,0.0,0.0,56.675987139651575,30.268474055548328,5.90279,0.08051,0.25327
VT,2020,0.07726206,0.0,66.08641693066397,30.67376465593259,5.88102,0.08774,0.27113
WA,2012,11.755252870000005,12.731143389999987,56.16339829967276,41.29462143210913,56.19937,2.70912,10.06209
WA,2016,0.0,0.3823829300000001,54.30357713757948,38.069976012818096,58.27356,3.02803,11.64612
WA,2020,8.851788260000015,9.647713610000004,57.97030113530307,38.766977743343276,59.77696,3.31924,13.05273
WI,2012,20.539207699999846,35.040653719999945,52.77616253515459,45.93834671361977,50.42978,3.74115,3.02867
WI,2016,0.0,14.31057014,46.436078532055575,47.19612145228453,50.45904,3.84254,3.4247
WI,2020,12.84334952,10.59158312,49.454016435006025,48.82903008232061,50.67781,3.90543,3.6411
WV,2012,7.705703980000003,7.1747049600000015,35.53919813853589,62.29565658373605,17.45665,0.64828,0.46379
WV,2016,6.7020227899999965,6.2844318699999935,26.47692801777152,68.63057481161937,17.14557,0.65227,0.51239
WV,2020,19.08610322000001,18.475528230000016,29.69652124451961,68.63155192461606,16.75122,0.6461,0.52415
WY,2012,0.0,0.0,27.81888774236031,68.64262168705659,5.37181,0.07671,0.31453
WY,2016,0.0,0.25368707,21.877357347497934,68.17263307654125,5.42675,0.07326,0.34214
WY,2020,0.0,0.07801487,26.553574332014524,69.93622748541179,5.35371,0.07467,0.35921
